Region,Site,Habitat,regnum,d13C,SD
East,PW,NS,4,-1.194387516,0.133466325
East,PW,DRM,4,-10.46571429,0.125977133
East,PW,WL,4,-12.05007143,0.172635072
East,MU,NS,3,-1.445811973,0.457333193
East,MU,DRM,3,-9.901571429,0.075411885
East,MU,WL,3,-11.14880952,0.318619739
South,BH,NS,1,-0.6072,0.34672884
South,BH,WL,1,-5.16589571,0.445747004
South,CA,NS,2,-0.3536,0.385315284
South,CA,WL,2,-1.867245455,2.514234396
West,CR,NS,5,2.109365901,0.618811015
West,CR,WL,5,-5.031180392,0.251098326
West,LS,NS,6,2.368073767,0.328508755
West,LS,WL,6,-4.0291,0.768716256
West,PE,NS,7,2.639933333,0.057062188
West,PE,WL,7,-5.026297225,1.858628139
