Site,Habitat,Resource,meand13C,sd13C,meand15N,sd15N
LS,NS,NS Prey Fish,-23.04023442,2.009303179,10.62325,0.574868898
LS,NS,NS Invertebrates,-25.2329628,3.138317216,3.703,1.862519262
LS,WL,WL Prey Fish,-28.06911072,2.36294384,10.5244,0.327472594
LS,WL,WL Invertebrates,-29.67798669,3.307809416,5.6312,1.081053478
BH,NS,NS Alewife,-23.71192061,0.283369503,8.585666667,0.523007967
BH,NS,NS Invertebrates,-15.0183893,0.360508161,8.955,0.316783838
BH,NS,NS Shiners,-19.11717499,0.711019054,8.8646,0.296301029
BH,WL,WL Invertebrates,-27.03715466,3.179696545,8.330571429,1.026476312
BH,WL,WL Seston,-20.23964239,2.576630236,2.602666667,0.761696352
CA,WL,WL Alewife,-23.63060369,0.617986179,12.58433333,0.855074188
CA,WL,WL Phrag Inverts,-24.97050612,1.52206251,14.28842857,1.657930825
CA,WL,WL SAV Inverts,-18.82658465,2.356277962,11.11971429,1.660145241
CA,WL,WL Shiners,-19.53822791,1.445814853,16.1124375,1.048439855
CA,NS,NS Alewife,-22.27125,0.348314393,8.0685,0.522535804
CA,NS,NS Invertebrates,-17.82308059,3.913142124,4.0725,1.905833588
CA,NS,NS Seston,-24.43758225,4.381127951,3.472,1.779651932
CA,NS,NS Shiners,-18.90816667,0.412586678,9.160333333,0.471524619
PE,NS,NS Alewife,-24.0255,0.8237794,11.0785,0.583363094
PE,WL,WL Invertebrates,-29.23933333,1.003809411,6.021666667,2.117775799
PE,WL,WL Pumpkinseed,-30.6835,0.098287843,9.8125,0.277892965
PE,WL,WL Small Perch,-27.68542857,1.681655916,11.709,0.481642675
CR,NS,NS Alewife,-23.34607047,0.494685908,9.102666667,0.250243615
CR,NS,NS Invertebrates,-16.77742351,3.429512997,4.436,0.835818561
CR,WL,WL Invertebrates,-31.89775,2.185478037,5.5475,0.474222522
CR,WL,WL Prey Fish,-28.4686,1.445437927,9.165,0.537902408
PW,DRM,DRM <100 mm Perch,-32.697,0.205496959,12.55766667,0.832949178
PW,WL,WL Alewife,-24.17905227,0.844900021,8.768333333,0.129477154
PW,WL,WL Invertebrates,-27.39618954,2.511474584,8.282,1.28174914
PW,WL,WL Seston,-29.714,2.368807717,3.2875,2.020204074
PW,WL,WL Shiners,-29.79970015,1.134226061,12.2196,0.200041996
MU,DRM,DRM Seston,-32.16966667,0.901881552,8.802333333,2.12400667
MU,NS,NS Shiners,-22.03141629,2.198458614,10.92666667,0.963366147
MU,WL,WL Small Perch,-28.96266667,1.205884876,12.60133333,0.926823248
MU,NS,NS Invertebrates,-23.3446023,3.160945084,6.642333333,2.111623625
MU,NS,NS Seston,-23.9950718,0.635976921,3.396333333,0.638154631
MU,WL,WL Invertebrates,-26.02072886,1.89812246,9.212,1.856482427
MU,DRM,DRM Shiners,-30.9425,1.356937913,11.7195,0.277892965
MU,WL,WL Seston,-25.547,1.066111251,3.976333333,0.565055985
